"method","estimand","n","OR","CI_lower","CI_upper","p_value"
"Crude logistic, all rows","Association",5735,1.25203751069959,1.11845943633672,1.40156886988512,9.4254795282784e-05
"Crude logistic, complete-case","Association",5735,1.25203751069959,1.11845943633672,1.40156886988512,9.4254795282784e-05
"PS-adjusted logistic","ATE approximation",5735,1.29746373468224,1.13865712857944,1.47841883264348,9.2560522752624e-05
"Nearest matching, base R","ATT approximation",3126,1.30982476118063,1.12870271384217,1.52001132269963,0.000378751151131652
